mach_id,model_cd,pmtc_counter,pmtc_distance,create_update_date
A9CU011000003,C2060,4931799.0,2142.0,2025-04-30 10:48:09.000
A9CU011000006,C2060,1159543.0,448.0,2025-04-29 21:57:38.000
A9CU011000023,C2060,1275987.0,681.0,2025-04-30 15:33:05.000
A9CU011000037,C2060,1840697.0,857.0,2025-04-30 15:54:15.000
A9CU011000025,C2060,2595764.0,903.0,2025-04-28 06:53:00.000
A9CU011000026,C2060,3582949.0,1317.0,2025-04-30 18:55:16.000
A9CU011000032,C2060,3901506.0,1604.0,2025-04-30 15:31:01.000
A9CU011000022,C2060,4512711.0,1521.0,2025-04-30 19:42:12.000
A9CU011000042,C2060,1088455.0,1005.0,2025-04-30 19:26:12.000
A9CU011000047,C2060,1131327.0,364.0,2025-04-28 14:00:42.000
A9CU011000034,C2060,1020341.0,413.0,2025-04-30 19:16:56.000
A9CU011000041,C2060,10023427.0,3064.0,2025-04-30 17:49:56.000
A9CU011000007,C2060,377930.0,267.0,2025-04-30 20:48:33.000
A9CU011000024,C2060,2570202.0,993.0,2025-04-30 20:39:03.000
A9CU011000018,C2060,890201.0,310.0,2025-04-30 16:26:35.000
A9CU011000014,C2060,492369.0,388.0,2025-04-30 14:18:24.000
A9CU021000074,C2060,367667.0,305.0,2025-04-29 07:51:33.000
A9CU021000019,C2060,1463914.0,621.0,2025-04-24 08:15:49.000
A9CU021000062,C2060,353272.0,275.0,2025-04-19 16:48:33.000
A9CU021000097,C2060,988493.0,530.0,2025-04-30 07:15:38.000
A9CU021000035,C2060,1020381.0,513.0,2025-04-30 11:32:59.000
A9CU021000061,C2060,3241405.0,1702.0,2025-04-30 09:47:09.000
A9CU021000092,C2060,1349794.0,818.0,2025-04-30 10:33:13.000
A9CU021000021,C2060,353049.0,233.0,2025-04-30 09:50:39.000
A9CU021000022,C2060,726318.0,605.0,2025-04-29 09:28:33.000
A9CU021000122,C2060,4384426.0,1742.0,2025-04-30 07:01:32.000
A9CU021000113,C2060,435804.0,289.0,2025-04-28 08:01:24.000
A9CU021000066,C2060,2164661.0,1136.0,2025-04-30 14:33:44.000
A9CU021000048,C2060,3365744.0,1356.0,2025-04-11 09:15:49.000
A9CU021000120,C2060,732566.0,655.0,2025-04-30 08:42:58.000
A9CU021000001,C2060,1338032.0,692.0,2025-04-30 09:43:53.000
A9CU021000089,C2060,1667518.0,654.0,2025-04-23 08:21:16.000
A9CU021000115,C2060,1072313.0,507.0,2025-04-17 07:01:59.000
A9CU021000081,C2060,893300.0,462.0,2025-04-25 05:26:33.000
A9CU021000107,C2060,1608031.0,826.0,2025-04-30 04:36:57.000
A9CU021000004,C2060,612419.0,289.0,2025-04-30 07:57:48.000
A9CU021000114,C2060,867378.0,614.0,2025-04-29 04:58:49.000
A9CU021000059,C2060,1204526.0,813.0,2025-04-30 09:05:08.000
A9CU021000054,C2060,906723.0,534.0,2025-04-30 07:45:48.000
A9CU021000103,C2060,2182933.0,943.0,2025-04-28 08:18:10.000
A9CU021000046,C2060,1648468.0,714.0,2025-04-24 14:31:01.000
A9CU021000020,C2060,349322.0,304.0,2025-04-30 06:02:51.000
A9CU021000108,C2060,937105.0,758.0,2025-04-30 09:34:23.000
A9CU021000016,C2060,1040542.0,588.0,2025-04-30 07:51:22.000
A9CU021000040,C2060,1362899.0,611.0,2025-04-29 10:04:00.000
A9CU021000082,C2060,1975887.0,969.0,2025-04-30 08:20:42.000
A9CU021000041,C2060,172695.0,232.0,2025-04-30 16:13:01.000
A9CU021000013,C2060,781291.0,346.0,2025-04-29 09:38:50.000
